quantity,source_in_paper,claimed,tolerance_type,tolerance,output_file,column,row_filter,likely_cause_if_mismatch
native-VS delta Y,Section 3.4,0.027,abs,0.004,03_temperature_effect.csv,delta_y_point,subset == 'native volatile solids',Baseline median yield differs
native-VS delta Y lower CI,Section 3.4,-0.023,abs,0.006,03_temperature_effect.csv,delta_y_lo,subset == 'native volatile solids',Follows from beta and SE
native-VS delta Y upper CI,Section 3.4,0.079,abs,0.006,03_temperature_effect.csv,delta_y_hi,subset == 'native volatile solids',Follows from beta and SE
break-even at 85pct,Section 3.4,39,abs,2,04_breakeven_loading.csv,scenario_loading_g_VS_per_L,heat_recovery == '85%',Follows from delta Y
break-even at 70pct,Section 3.4,78,abs,3,04_breakeven_loading.csv,scenario_loading_g_VS_per_L,heat_recovery == '70%',Follows from delta Y
break-even at 50pct,Section 3.4,130,abs,5,04_breakeven_loading.csv,scenario_loading_g_VS_per_L,heat_recovery == '50%',Follows from delta Y
RF algorithms arm,Table S18,-0.174,resample,0.06,05_robustness_algorithms.csv,median,model == 'RandomForest',Seeds differ
LightGBM,Table S18,-0.249,resample,0.08,05_robustness_algorithms.csv,median,model == 'LightGBM',Library version defaults differ
XGBoost,Table S18,-0.498,resample,0.10,05_robustness_algorithms.csv,median,model == 'XGBoost',Library version defaults differ
tuned RF,Table S19,-0.103,resample,0.08,05_robustness_tuning.csv,median,arm.str.contains('tuned'),Search grid or n_iter differs
default RF 12 splits,Table S19,-0.043,resample,0.08,05_robustness_tuning.csv,median,arm.str.contains('default'),Number of tuning splits differs
raw-string encoding,Table S20,0.077,resample,0.07,05_robustness_encoding.csv,median,encoding.str.contains('raw'),Raw string normalisation differs
raw substrate levels,Table S20,69,exact,0,05_robustness_encoding.csv,substrate_levels,encoding.str.contains('raw'),Case or whitespace handling differs
mapped substrate levels,Table S20,12,exact,0,05_robustness_encoding.csv,substrate_levels,encoding.str.contains('mapping'),Keyword rules differ
basis ladder all records,Table S26,-0.174,resample,0.06,07_basis_sensitivity.csv,study_grouped,subset.str.contains('all harmonised'),Seeds differ
basis ladder 212,Table S26,-0.019,resample,0.08,07_basis_sensitivity.csv,study_grouped,subset.str.contains('excluding COD'),Mass-basis classifier differs
basis ladder native VS,Table S26,-1.11,resample,0.25,07_basis_sensitivity.csv,study_grouped,subset.str.contains('native volatile'),Native-VS subset definition differs
